IE_XML_ID;IE_NAME;IP_PROP228;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_PRICE_1;CV_CURRENCY_1
47605240;Струйная трубка Vario Power K5 033;4.760-524.0;305;60;45;450;0.00;RUB
63904260;Шланг DN 5;6.390-426.0;54;200;9;200;262.00;RUB
50520810;Скоба;5.052-081.0;0;;;;47.00;RUB
54814130;Зажимной шланг HD;5.481-413.0;0;;;;47.00;RUB
73040270;Шестигранный винт M8x12-8.8-P2E EN 16;7.304-027.0;0;;;;38.00;RUB
46243330;Двигатель K7 ALU/M8;4.624-333.0;0;;;;0.00;RUB
56921220;Воздухопровод WCM K7;5.692-122.0;0;;;;722.00;RUB
41202360;Наклонная шайба комплектный 11А28';4.120-236.0;0;;;;4341.00;RUB
46242160;Мотор K7;4.624-216.0;0;;;;26818.00;RUB
62880480;Engine oil 15W/40;6.288-048.0;0;;;;0.00;RUB
41200080;Косая шайба комплектный 10А10' (D67);4.120-008.0;0;;;;841.00;RUB
46242170;Мотор комплектный для замены K7 WCM *SA;4.624-217.0;0;;;;26552.00;RUB
63917950;Шланг высокого давления 16MPa/12m 60АC;6.391-795.0;1040;300;70;300;0.00;RUB
47642110;Роторная форсунка 0295 St;4.764-211.0;206;51;51;468;0.00;RUB
26418120;Насадка Delta-Racer D 150;2.641-812.0;995;175;265;420;0.00;RUB
57624040;Опора щетки Power-Brush;5.762-404.0;0;;;;0.00;RUB
28854060;Ротор в сборе;2.885-406.0;150;270;70;70;2741.00;RUB
51159710;Диск;5.115-971.0;0;;;;47.00;RUB
50354390;Втулка;5.035-439.0;0;;;;47.00;RUB
66499020;Кабель с штепсель *CH;6.649-902.0;0;;;;1867.00;RUB
66498940;Кабель с штепсель *GB;6.649-894.0;0;;;;2502.00;RUB
73032350;Винт M6x50 -St-A2K (In6Rd);7.303-235.0;0;;;;38.00;RUB
90017660;Крышка в сборе серебристая K5.700;9.001-766.0;60;60;45;230;1122.00;RUB
90376260;Телескопическая ручка Standard;9.037-626.0;389;220;50;500;868.00;RUB
90378710;Корпус задней части Mod.Compact;9.037-871.0;1150;300;250;500;3171.00;RUB
45153250;Комплект замены колеса 200 HUMMER;4.515-325.0;564;200;90;380;1624.00;RUB
45152920;Колпак для колеса К3;4.515-292.0;99;280;100;450;703.00;RUB
90376730;Фиксатор;9.037-673.0;40;100;30;130;248.00;RUB
90814170;Кольцо круглого сечения 20 х 2;9.081-417.0;2;20;2;20;0.00;RUB
